date,lithology_alpha,lithology_bravo,lithology_charlie,lithology_delta,lithology_echo,lithology_foxtrot,lithology_golf,quality_massive,quality_jointed,quality_brecciated,feed_tonnes
2032-02-04,5670.175,5382.947,3304.279,12914.774,15800.117,2093.986,8159.093,18646.56,14072.717,20606.092,53325.37
2032-02-05,2851.328,6919.009,1596.34,7854.092,15768.11,2130.843,5655.337,29887.868,6765.161,6122.031,42775.06
2032-02-06,4775.811,18868.68,13049.958,13515.184,853.88,5804.083,1552.376,8508.918,26690.114,23220.94,58419.972
2032-02-07,17851.725,9683.661,3093.809,7559.962,677.889,10934.925,583.003,7309.157,30209.578,12866.239,50384.973
2032-02-08,6359.763,3190.704,4196.545,14986.189,1658.762,10797.928,1045.698,13419.651,23317.458,5498.48,42235.589
2032-02-09,14490.339,10258.201,16693.895,3676.941,264.524,1142.686,4997.732,11712.111,32288.502,7523.704,51524.317
2032-02-10,10481.074,9328.361,8677.576,9623.028,3554.322,3005.158,8072.543,19672.812,27501.323,5567.927,52742.062
2032-02-11,3770.582,8924.014,1846.196,16475.227,2379.133,5343.62,15396.433,10408.717,25126.044,18600.446,54135.207
2032-02-12,9461.028,20011.422,3987.444,3296.391,749.479,10499.678,851.78,28476.15,5899.784,14481.288,48857.223
2032-02-13,8242.212,9088.021,3476.357,15417.841,4618.031,807.959,3276.311,19027.298,23398.867,2500.568,44926.733
2032-02-14,4005.751,16416.896,6027.715,7562.565,3669.984,424.126,1048.144,24233.451,12963.269,1958.462,39155.182
2032-02-15,6169.357,10709.487,1184.637,13471.884,1231.521,9494.12,4602.036,8926.342,27755.681,10181.019,46863.042
2032-02-16,4932.083,19740.215,8550.905,17650.973,475.23,2259.236,496.76,20759.442,22212.428,11133.533,54105.403
2032-02-17,3170.537,5678.842,12204.393,5449.747,839.514,2412.532,5318.824,10449.67,11121.458,13503.26,35074.388
2032-02-18,4414.54,7529.149,1121.301,6389.49,11145.558,12752.956,6764.315,15629.051,15342.612,19145.647,50117.31
2032-02-19,9015.126,15392.114,580.166,5743.544,9666.173,10034.338,814.883,8551.645,22856.446,19838.254,51246.345
2032-02-20,14750.175,12288.404,5058.926,8497.512,2072.297,1940.347,1338.683,16605.524,19852.991,9487.829,45946.344
2032-02-21,3274.039,6616.204,1652.356,8899.686,1041.661,17695.875,2182.534,5703.452,11772.209,23886.692,41362.354
2032-02-22,6357.046,5955.324,4321.091,4476.194,1531.958,13300.933,3409.161,11560.146,21586.331,6205.229,39351.706
2032-02-23,8164.995,9537.961,1332.693,13993.139,587.226,8997.437,4881.293,19810.482,19983.101,7701.162,47494.744
2032-02-24,11917.207,4657.139,9798.657,4680.3,2280.262,5072.901,2467.144,6474.575,19299.825,15099.208,40873.608
2032-02-25,7968.898,4770.227,3623.346,4870.715,4321.281,4008.985,7096.442,12206.694,12982.948,11470.252,36659.895
2032-02-26,14079.472,5227.606,14583.27,5508.343,4098.416,3307.581,4971.313,10538.03,21940.373,19297.599,51776.002
2032-02-27,5434.839,10201.789,6581.958,2858.536,6946.088,6047.779,6578.723,21699.313,10764.999,12185.4,44649.712
2032-02-28,8580.28,6118.174,12101.102,6242.599,2346.851,12431.822,344.619,17936.942,20510.209,9718.295,48165.446
2032-02-29,8227.997,6119.754,1795.338,12317.573,1350.411,5605.906,1027.822,17381.634,11463.992,7599.175,36444.801
2032-03-01,4183.59,1415.11,4932.802,21593.379,3773.886,7661.486,2903.522,2983.697,25779.459,17700.619,46463.775
2032-03-02,6952.104,12868.491,1742.941,11990.233,4928.44,4437.465,792.651,14706.053,14562.58,14443.692,43712.325
2032-03-03,7963.728,26438.75,4262.004,8614.72,5226.641,1768.126,5720.976,12817.427,38673.083,8504.435,59994.945
2032-03-04,5130.574,14987.337,1437.916,5619.241,842.555,5954.323,7856.662,16307.151,14275.056,11246.4,41828.607
2032-03-05,5193.097,8089.59,18722.005,4338.249,3913.916,11688.862,1156.322,13688.169,30405.915,9007.956,53102.041
2032-03-06,5025.64,13206.874,1625.579,13362.946,7651.85,3639.396,411.751,16991.517,5704.253,22228.266,44924.036
2032-03-07,8796.577,7075.732,11222.575,19971.376,2799.871,2144.403,2419.199,19855.867,29101.298,5472.569,54429.733
2032-03-08,5741.839,17168.13,1271.903,4361.836,3931.218,7571.754,3046.866,19024.637,17880.844,6188.065,43093.546
2032-03-09,2112.897,10395.44,3464.897,19322.535,1401.977,7607.663,4209.391,8116.273,23862.155,16536.372,48514.8
2032-03-10,2751.789,12543.674,3415.703,8902.405,296.49,9875.169,3038.685,14744.853,23752.915,2326.147,40823.915
2032-03-11,5632.85,9936.695,9112.384,6959.122,10767.13,3978.445,6480.114,22263.768,21653.532,8949.44,52866.741
2032-03-12,12049.709,7731.598,2989.449,2448.807,3408.745,2414.358,927.886,10787.216,15451.584,5731.752,31970.552
2032-03-13,6827.313,8047.361,2102.629,6908.385,1225.21,10451.677,2419.421,18248.32,16388.542,3345.135,37981.997
2032-03-14,7002.606,6806.335,2542.161,13365.272,10191.424,6055.717,1551.788,12312.862,26256.91,8945.533,47515.304
2032-03-15,4315.246,30904.342,6430.055,5341.696,1173.342,4389.811,2482.228,27211.367,22069.191,5756.163,55036.722
2032-03-16,11463.641,13910.823,3067.564,3341.792,2382.715,4211.952,5485.296,16201.72,24439.541,3222.523,43863.784
2032-03-17,3078.667,5843.416,2080.613,15948.889,7386.221,3206.504,2147.338,22280.522,11117.034,6294.092,39691.648
2032-03-18,15685.576,8741.744,3611.262,2034.865,972.039,3671.263,6840.811,11491.199,24581.266,5485.095,41557.56
2032-03-19,8949.573,16912.703,6786.276,4344.438,4690.41,8894.021,1154.42,34434.829,14080.253,3216.757,51731.84
2032-03-20,9873.034,1797.602,5857.099,10373.259,13695.287,6728.461,1223.629,15200.18,26479.515,7868.675,49548.371
2032-03-21,16675.147,10969.979,12877.361,6229.446,2882.257,6107.965,1334.811,13738.246,24792.67,18546.052,57076.967
2032-03-22,6495.842,6913.185,1630.029,8015.132,4828.107,7004.514,7161.15,11357.381,20215.823,10474.756,42047.959
2032-03-23,6259.111,18339.668,1491.734,7815.426,4352.798,5666.638,3427.628,14231.179,17088.657,16033.167,47353.002
2032-03-24,8163.967,10714.942,12447.866,7944.253,5825.004,2073.694,2584.828,25398.473,13277.919,11078.161,49754.554
2032-03-25,3402.594,12722.403,4263.951,8845.247,1098.557,1204.539,17752.581,16253.117,22205.049,10831.706,49289.872
2032-03-26,7712.478,9523.739,8774.851,9249.909,5150.962,3712.353,1248.968,12765.598,31811.329,796.332,45373.259
2032-03-27,9290.025,12180.331,4076.672,5261.869,205.487,9316.231,994.51,9124.126,24877.208,7323.79,41325.123
2032-03-28,8991.629,7729.206,5071.395,6408.709,232.3,5846.183,6186.791,2082.085,20039.453,18344.675,40466.213
2032-03-29,4523.198,6225.322,4319.239,5633.859,688.912,16030.453,2541.821,11646.017,17531.243,10785.544,39962.804
2032-03-30,7817.141,4715.609,9742.997,4765.777,259.034,6762.622,6952.968,27844.499,11130.409,2041.24,41016.148
2032-03-31,6699.51,7574.671,7391.017,7147.074,3304.97,3400.641,9953.47,23228.372,20365.61,1877.37,45471.353
2032-04-01,8598.574,12620.97,8056.322,4061.491,1305.349,2333.205,213.647,13157.978,14183.243,9848.336,37189.557
2032-04-02,17410.071,712.68,5721.61,7708.545,7177.646,427.652,4917.597,12032.644,15408.479,16634.679,44075.801
2032-04-03,3299.506,11297.709,8594.097,13118.932,7566.619,1867.324,1446.448,34407.81,7789.715,4993.11,47190.635
2032-04-04,10188.895,3170.268,291.913,10899.982,201.083,7788.052,6426.185,16993.289,16063.241,5909.849,38966.38
2032-04-05,3598.413,23027.373,2357.768,2499.236,1622.891,3646.399,4837.402,14334.625,16228.438,11026.42,41589.483
2032-04-06,4305.776,11211.114,6140.099,2991.827,5439.062,5428.91,4815.103,14644.643,13392.785,12294.463,40331.89
2032-04-07,3205.798,7106.645,11910.595,8873.285,3645.649,8765.207,592.592,14360.299,25178.355,4561.117,44099.77
2032-04-08,3697.348,14725.695,460.207,13883.821,815.323,5361.782,3130.727,18043.752,12776.035,11255.115,42074.903
2032-04-09,1606.885,7332.609,2180.559,15291.51,5867.964,5271.77,2651.094,5351.308,28504.317,6346.765,40202.39
2032-04-10,1953.0,9631.128,1044.85,20494.188,2366.32,1272.962,3944.217,13218.218,9960.459,17527.989,40706.665
2032-04-11,3272.089,14750.444,3235.838,11060.583,4684.563,5124.225,4244.299,2193.614,31267.919,12910.507,46372.041
2032-04-12,1876.881,8164.615,5029.661,5536.844,4581.23,2400.579,15202.673,21279.877,17013.719,4498.888,42792.483
2032-04-13,9680.99,7972.26,2967.616,5410.356,5460.407,15097.432,956.719,5151.361,29663.313,12731.107,47545.78
2032-04-14,9002.582,4506.887,4638.43,8372.192,1577.148,7208.828,11479.017,22529.156,17614.379,6641.549,46785.083
2032-04-15,2148.869,6581.98,2986.492,1200.102,3603.893,11065.283,2603.424,10353.592,18704.359,1132.093,30190.044
2032-04-16,8023.083,6826.171,6401.069,5598.455,11789.319,5801.151,3926.763,21015.325,21198.216,6152.468,48366.009
2032-04-17,5601.09,7992.502,5070.304,8545.736,8335.914,6399.172,1394.681,3271.199,25446.181,14622.019,43339.399
2032-04-18,10843.45,13496.843,1665.488,10228.559,688.66,5137.731,1662.73,5848.656,21855.479,16019.326,43723.461
2032-04-19,10993.551,6191.374,382.233,7327.829,4264.816,5247.834,4485.662,11994.771,23727.253,3171.275,38893.299
2032-04-20,4479.489,2935.846,1787.448,9046.956,12780.389,6246.432,4849.247,10661.827,5590.48,25873.501,42125.808
2032-04-21,3829.574,11183.44,2770.023,10147.245,6679.298,4295.342,2154.932,14015.76,15343.144,11700.951,41059.855
2032-04-22,7400.471,9552.175,2298.931,5851.668,3603.119,13763.762,1253.842,26646.111,8763.592,8314.265,43723.967
2032-04-23,3632.692,2160.243,1318.094,12335.211,2413.795,4008.222,766.663,3792.33,13400.482,9442.108,26634.92
2032-04-24,9806.069,7268.65,6213.87,2218.361,21.451,6399.373,4269.742,6127.51,17427.898,12642.107,36197.515
2032-04-25,2455.141,1060.026,6329.787,10444.925,2377.213,9978.629,3155.635,8308.17,12778.913,14714.276,35801.358
2032-04-26,13222.414,4913.133,2944.31,6543.929,1309.721,12477.126,6595.701,12788.778,28000.445,7217.112,48006.335
2032-04-27,3395.664,14536.901,1441.834,11874.372,2458.734,5577.497,4505.107,9713.164,8547.04,25529.904,43790.108
2032-04-28,8783.741,8296.594,8295.863,2288.695,3928.86,5973.514,6096.522,19645.046,13728.081,10290.662,43663.789
2032-04-29,6662.005,2077.459,6810.281,2567.949,1011.86,18010.066,4751.052,19006.607,11766.732,11117.335,41890.673
2032-04-30,3779.587,3619.132,3312.477,4376.758,6014.068,12314.713,487.016,17767.032,13132.509,3004.21,33903.751
2032-05-01,5118.626,5166.614,480.506,5153.534,4551.044,6704.454,11148.791,13977.461,24054.735,291.372,38323.568
2032-05-02,8123.503,6821.429,2513.823,17591.619,5526.675,1234.829,8880.665,37655.307,6340.652,6696.585,50692.544
2032-05-03,11168.169,7534.306,2798.183,8847.702,2374.025,4082.457,1857.951,10446.837,20594.693,7621.263,38662.793
2032-05-04,1597.006,13361.722,13384.024,6460.08,1513.155,9647.496,1345.546,27455.261,16203.482,3650.286,47309.028
2032-05-05,3760.56,10061.398,8049.62,6507.388,6716.803,5496.425,3461.682,15273.301,11416.402,17364.173,44053.876
2032-05-06,12488.303,3351.924,4141.191,6835.101,601.172,3808.602,6484.104,9959.277,17570.986,10180.134,37710.397
2032-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032-05-08,4164.292,11197.292,2689.875,3870.659,2955.592,3068.907,6627.037,11407.442,18342.909,4823.304,34573.654
2032-05-09,13033.911,6198.85,2375.22,3379.012,286.027,10177.354,5947.139,11138.045,18675.738,11583.729,41397.513
2032-05-10,4554.216,4846.898,10487.693,8161.004,761.355,2828.404,4840.819,9663.274,21838.565,4978.551,36480.391
2032-05-11,1781.371,6211.607,4217.626,8350.933,2455.522,8072.014,2553.915,9342.591,15596.968,8703.428,33642.988
2032-05-12,4476.81,4200.072,9049.205,8818.133,371.012,8264.608,1031.737,7147.86,25123.674,3940.043,36211.577
2032-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032-05-14,2879.289,12820.49,2197.175,3595.972,3330.785,9498.992,6161.372,15058.721,13543.734,11881.62,40484.076
2032-05-15,6198.028,11747.011,3715.174,4801.087,2948.837,9827.424,638.492,8052.913,18797.83,13025.31,39876.053
2032-05-16,2160.063,8218.164,1143.134,8237.071,2002.229,4116.361,4588.113,11555.717,15235.348,3674.071,30465.136
2032-05-17,7263.116,5311.484,3209.871,10921.902,1484.144,5089.731,4895.602,15721.896,17070.728,5383.225,38175.849
2032-05-18,2384.136,7114.714,14266.887,1231.502,3897.711,1760.49,2149.461,10554.119,11503.779,10747.004,32804.902
2032-05-19,5413.935,8613.215,6006.237,6158.582,1723.56,9174.104,3399.034,13897.274,11321.256,15270.138,40488.667
2032-05-20,2425.455,6019.92,3558.135,7166.181,6107.591,15117.829,3706.926,7239.316,19677.203,17185.518,44102.037
2032-05-21,3101.741,10504.326,2874.208,6127.98,616.29,3927.112,2580.069,15765.336,7197.978,6768.412,29731.726
2032-05-22,1009.465,7369.382,3868.007,4130.537,7920.394,604.221,574.207,7217.858,15970.474,2287.88,25476.212
2032-05-23,6829.982,9253.68,7585.471,5308.525,2045.006,7482.939,1542.724,19914.254,11062.023,9072.051,40048.328
2032-05-24,8301.411,7023.033,8034.633,6681.259,695.516,1575.588,578.313,11090.147,19027.89,2771.716,32889.753
2032-05-25,2238.64,8675.456,2818.179,17510.821,1369.097,3286.172,2545.73,8726.931,28773.167,943.996,38444.094
2032-05-26,4164.856,7998.745,8280.303,8335.673,4385.057,1235.738,4985.812,2172.4,20805.508,16408.277,39386.185
2032-05-27,2381.537,7021.37,902.662,5539.314,3464.981,1416.242,3475.243,17942.402,5585.53,673.418,24201.349
2032-05-28,10921.071,12855.487,12618.716,3536.52,698.049,2976.848,358.421,5089.64,24185.885,14689.586,43965.111
2032-05-29,6472.418,5565.718,3622.614,8348.717,2895.361,6119.647,3178.777,15020.909,10042.7,11139.642,36203.251
2032-05-30,2486.07,6094.051,3539.303,5085.872,6520.785,3492.626,2279.255,7517.104,12306.311,9674.548,29497.963
2032-05-31,13708.248,6523.372,4125.304,3504.114,2965.346,1618.089,9088.699,16523.046,9072.691,15937.434,41533.171
2032-06-01,7608.96,8572.939,6226.72,8492.602,3395.505,5788.584,2158.363,18014.034,15347.435,8882.205,42243.674
2032-06-02,4099.908,4981.535,6499.963,7324.075,244.668,13045.628,3194.113,26924.078,4745.728,7720.085,39389.891
2032-06-03,7393.375,4310.202,2907.662,12699.43,8505.467,6511.055,968.555,16444.064,19626.545,7225.137,43295.746
2032-06-04,5882.073,7378.786,5987.575,14141.21,1520.152,2985.827,969.179,18673.558,13466.83,6724.415,38864.802
2032-06-05,3805.337,2810.414,10153.913,6945.056,4900.628,11110.894,4312.782,9182.66,22532.755,12323.611,44039.025
2032-06-06,5437.861,9238.989,1963.706,3585.72,754.943,16600.656,3082.51,19417.827,5243.701,16002.857,40664.385
2032-06-07,8010.36,7142.277,4729.233,17737.401,366.244,1984.301,3904.592,11744.73,18239.737,13889.942,43874.409
2032-06-08,5145.847,9076.728,10263.777,7798.99,2702.318,3778.322,542.566,29074.237,7742.288,2492.023,39308.548
2032-06-09,7358.791,9714.349,6903.846,8847.742,3061.986,4282.829,2459.575,12576.807,27427.018,2625.292,42629.118
2032-06-10,4639.094,7432.559,2050.834,7947.112,6736.023,10163.407,441.544,13779.779,20096.218,5534.576,39410.573
2032-06-11,16001.873,9144.433,1627.745,11980.361,2040.72,4295.329,3938.453,17535.829,20076.008,11417.076,49028.914
2032-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032-06-13,8005.83,9393.682,4970.736,11108.512,3137.822,2029.907,2662.669,9287.163,17683.439,14338.555,41309.158
2032-06-14,4123.036,9750.405,6414.265,8187.294,767.683,1056.001,6821.53,23465.918,11926.465,1727.83,37120.214
2032-06-15,5396.561,6932.34,8799.849,12648.885,5555.131,3256.322,1606.043,11393.734,16123.873,16677.526,44195.133
2032-06-16,14223.581,1616.484,1555.88,8785.285,2270.6,7737.067,12065.444,18123.98,27115.407,3014.953,48254.341
2032-06-17,2679.466,4120.207,855.649,18395.22,1740.818,10551.123,8186.553,16865.084,23528.802,6135.151,46529.037
2032-06-18,7647.249,4573.076,2482.62,5298.991,1029.966,2820.863,5439.834,11250.871,8244.141,9797.587,29292.599
2032-06-19,2345.037,2542.534,11563.028,5748.924,9840.395,6315.639,5905.351,15803.347,13069.261,15388.299,44260.906
2032-06-20,7854.497,5842.651,4691.15,2816.625,6550.383,2394.054,9449.174,14538.467,17904.989,7155.078,39598.534
2032-06-21,2840.04,11504.73,4965.284,4782.865,1457.424,3544.798,4733.948,10715.871,18477.695,4635.522,33829.088
2032-06-22,4094.921,6481.022,2320.425,5932.212,17788.972,7626.139,1311.123,12347.715,23087.136,10119.962,45554.813
2032-06-23,8885.116,8607.306,1353.498,9952.169,3695.547,1608.925,4775.968,21854.453,10844.64,6179.436,38878.53
2032-06-24,3206.298,16228.98,5540.635,10358.486,1539.12,2782.45,3312.953,15503.144,24640.248,2825.529,42968.922
2032-06-25,5471.303,10412.539,11248.965,3734.005,9380.89,2603.596,5137.576,17757.693,19502.778,10728.402,47988.873
2032-06-26,10057.897,9767.788,1501.403,4097.272,397.186,4376.905,4249.304,13742.999,16937.022,3767.735,34447.755
2032-06-27,9345.999,9904.784,7125.274,5921.245,2598.043,8846.913,6229.513,14150.327,22192.83,13628.613,49971.77
2032-06-28,10115.762,5253.874,8002.55,3880.976,7789.581,1966.393,1998.129,5295.014,25888.913,7823.336,39007.264
2032-06-29,3217.125,1446.71,993.098,2007.702,8211.185,3370.504,3899.79,10841.226,10955.125,1349.764,23146.115
2032-06-30,8675.16,4312.641,6526.734,5110.536,53.063,21880.039,848.548,11493.92,32524.492,3388.308,47406.721
2032-07-01,5779.578,6672.025,4238.517,10672.227,2490.223,3331.978,7311.883,12284.751,9827.733,18383.947,40496.431
2032-07-02,7865.43,9931.795,7619.128,1597.451,5537.76,2891.547,3060.2,10625.225,26539.871,1338.217,38503.313
2032-07-03,15410.01,14441.257,4123.329,3675.468,1192.343,6299.132,897.268,23803.374,17117.122,5118.31,46038.806
2032-07-04,6310.535,13937.697,5597.897,2983.933,391.826,7052.696,5678.066,21061.211,15333.145,5558.293,41952.649
2032-07-05,2939.556,5753.116,16649.411,1381.974,7841.959,698.967,5994.15,16921.036,17950.409,6387.688,41259.133
2032-07-06,21149.097,11622.462,1598.699,4137.343,1040.436,6628.734,236.093,11609.872,32404.687,2398.305,46412.864
2032-07-07,9645.449,15439.574,14830.07,5372.853,973.152,6803.333,3573.813,20175.63,34170.108,2292.506,56638.244
2032-07-08,3902.32,23042.003,3368.351,5012.404,2496.245,6217.91,4658.812,20706.605,20943.345,7048.096,48698.046
2032-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032-07-10,4694.603,4710.195,9262.066,13262.918,1573.968,2375.734,5852.237,11989.691,21794.845,7947.186,41731.721
2032-07-11,9052.423,11237.524,2057.222,3532.974,2619.771,5858.259,4756.142,12716.785,22426.779,3970.751,39114.315
2032-07-12,5682.589,5191.347,3012.922,13487.852,2948.955,9969.116,1037.594,1653.155,27067.112,12610.108,41330.375
2032-07-13,12282.365,3872.954,5034.107,5672.909,4951.306,3358.707,9137.72,25788.213,17502.408,1019.447,44310.068
2032-07-14,5642.239,7354.608,7085.619,6655.89,3612.708,2151.45,7282.94,9479.405,21929.513,8376.536,39785.454
2032-07-15,9737.867,12731.186,4557.365,6458.917,32.583,3819.804,446.111,10699.632,17034.957,10049.243,37783.832
2032-07-16,1822.472,18727.965,2994.26,2362.448,10371.408,6457.602,5920.873,22411.025,22878.156,3367.847,48657.028
2032-07-17,1480.874,6485.581,8031.847,4783.121,881.771,9464.226,4995.666,5609.739,23174.693,7338.655,36123.087
2032-07-18,3436.99,10236.005,1393.656,4561.445,5446.415,3472.704,11147.439,21541.609,16098.271,2054.774,39694.654
2032-07-19,4353.718,10863.814,8269.963,9902.387,295.831,7048.244,1248.86,7953.992,31636.67,2392.157,41982.818
2032-07-20,5959.16,15347.195,7133.973,10814.689,720.561,4980.318,2794.6,9100.491,26000.352,12649.652,47750.495
2032-07-21,3137.966,9187.846,5531.367,16060.079,399.217,13630.56,1745.074,16308.361,31536.811,1846.936,49692.108
2032-07-22,11993.935,16503.181,3305.645,11999.287,2950.551,2797.927,2042.02,33674.618,9626.817,8291.11,51592.545
2032-07-23,11785.374,11007.739,4793.721,9147.899,2459.473,349.811,3237.201,13946.233,24816.146,4018.839,42781.218
2032-07-24,5102.529,10200.992,9814.907,9440.401,4024.867,4449.523,243.805,17465.87,19585.24,6225.914,43277.024
2032-07-25,7888.67,8781.349,5109.384,4198.145,1517.29,10133.14,2945.183,15688.655,8082.038,16802.468,40573.162
2032-07-26,7877.246,7880.296,1821.401,3004.455,1460.759,8650.255,1392.394,13442.238,13775.824,4868.744,32086.806
2032-07-27,7320.851,7252.107,4302.363,6541.108,1348.304,10314.15,6031.316,4456.408,22423.528,16230.264,43110.199
2032-07-28,5462.371,646.226,14028.099,16194.718,4945.918,5253.605,4379.23,7668.792,31265.437,11975.938,50910.167
2032-07-29,5153.954,19450.419,1157.951,4302.339,2010.419,8640.838,2340.413,24303.784,14003.152,4749.397,43056.333
2032-07-30,3434.707,4597.115,5787.647,4190.62,16398.939,13488.109,7144.358,14083.126,20340.022,20618.347,55041.496
2032-07-31,9114.089,6698.634,1926.358,17364.821,6825.549,2546.46,1545.915,16010.074,25381.322,4630.432,46021.827
2032-08-01,3825.007,5109.351,8564.936,6855.913,1345.403,11729.539,995.839,2460.36,26573.203,9392.425,38425.988
2032-08-02,12982.606,6747.554,2267.651,4945.071,6983.359,3707.005,1596.158,14891.25,5733.129,18605.025,39229.404
2032-08-03,4690.91,2635.493,4856.884,9035.834,1373.252,8758.448,12260.77,9769.791,21288.959,12552.841,43611.592
2032-08-04,5063.287,18494.951,4236.905,9751.651,1936.514,8533.92,2527.282,18296.145,19422.63,12825.735,50544.509
2032-08-05,14976.351,2212.057,5027.659,9282.505,4724.447,2163.229,10465.331,37400.902,6942.233,4508.443,48851.579
2032-08-06,9578.802,6752.928,1917.176,8758.599,3688.4,10695.008,3382.743,13254.075,23254.376,8265.205,44773.656
2032-08-07,14937.351,6550.847,6658.767,5574.199,353.605,8612.462,4322.179,8892.367,25063.515,13053.527,47009.409
2032-08-08,4326.157,5048.671,7971.058,17790.934,5843.35,3021.537,4732.215,10743.24,26342.292,11648.39,48733.922
2032-08-09,2839.142,8856.415,7051.422,9591.578,4292.116,14252.439,3324.724,15840.96,18502.846,15864.03,50207.836
2032-08-10,14976.998,5166.773,1129.7,15398.423,1582.109,9679.152,5896.276,10955.526,22925.769,19948.134,53829.43
2032-08-11,19560.062,5387.169,9560.003,11105.089,3994.386,4436.815,2600.284,21802.991,30042.848,4797.969,56643.808
2032-08-12,6211.751,10279.574,5735.404,16791.129,3643.947,2005.588,983.107,5270.345,35696.89,4683.266,45650.5
